iter	Passed	Remaining
750	2028	672
751	2030	669
752	2032	666
753	2034	663
754	2036	660
755	2037	657
756	2039	654
757	2041	651
758	2044	649
759	2046	646
760	2048	643
761	2049	640
762	2052	637
763	2054	634
764	2056	631
765	2059	629
766	2061	626
767	2063	623
768	2065	620
769	2067	617
770	2069	614
771	2071	611
772	2072	608
773	2074	605
774	2077	603
775	2079	600
776	2081	597
777	2083	594
778	2084	591
779	2093	590
780	2095	587
781	2097	584
782	2098	581
783	2100	578
784	2102	575
785	2103	572
786	2106	570
787	2107	567
788	2108	563
789	2110	560
790	2111	557
791	2113	554
792	2114	551
793	2115	548
794	2117	545
795	2118	542
796	2121	540
797	2123	537
798	2124	534
799	2126	531
800	2127	528
801	2128	525
802	2129	522
803	2130	519
804	2132	516
805	2133	513
806	2136	510
807	2138	508
808	2139	505
809	2141	502
810	2143	499
811	2144	496
812	2146	493
813	2148	490
814	2151	488
815	2154	485
816	2155	482
817	2157	479
818	2158	477
819	2159	474
820	2161	471
821	2162	468
822	2164	465
823	2165	462
824	2167	459
825	2169	457
826	2170	454
827	2172	451
828	2173	448
829	2174	445
830	2175	442
831	2176	439
832	2178	436
833	2180	433
834	2182	431
835	2193	430
836	2194	427
837	2195	424
838	2196	421
839	2198	418
840	2200	416
841	2202	413
842	2203	410
843	2204	407
844	2206	404
845	2208	401
846	2210	399
847	2211	396
848	2213	393
849	2216	391
850	2217	388
851	2219	385
852	2220	382
853	2222	379
854	2223	377
855	2224	374
856	2225	371
857	2226	368
858	2227	365
859	2230	363
860	2231	360
861	2233	357
862	2235	354
863	2236	352
864	2238	349
865	2239	346
866	2240	343
867	2241	340
868	2243	338
869	2246	335
870	2248	333
871	2250	330
872	2252	327
873	2253	324
874	2255	322
875	2256	319
876	2258	316
877	2262	314
878	2263	311
879	2265	308
880	2267	306
881	2268	303
882	2270	300
883	2271	298
884	2272	295
885	2273	292
886	2275	289
887	2278	287
888	2280	284
889	2282	282
890	2283	279
891	2284	276
892	2286	273
893	2287	271
894	2288	268
895	2289	265
896	2292	263
897	2294	260
898	2295	257
899	2297	255
900	2298	252
901	2300	249
902	2301	247
903	2303	244
904	2305	242
905	2308	239
906	2312	237
907	2313	234
908	2315	231
909	2316	229
910	2318	226
911	2319	223
912	2323	221
913	2326	218
914	2327	216
915	2329	213
916	2331	211
917	2333	208
918	2334	205
919	2337	203
920	2340	200
921	2342	198
922	2344	195
923	2346	192
924	2347	190
925	2349	187
926	2350	185
927	2352	182
928	2354	179
929	2357	177
930	2359	174
931	2361	172
932	2362	169
933	2364	167
934	2365	164
935	2368	161
936	2371	159
937	2372	156
938	2374	154
939	2376	151
940	2377	149
941	2378	146
942	2380	143
943	2381	141
944	2384	138
945	2386	136
946	2387	133
947	2389	131
948	2390	128
949	2392	125
950	2394	123
951	2396	120
952	2397	118
953	2400	115
954	2402	113
955	2403	110
956	2405	108
957	2407	105
958	2408	102
959	2410	100
960	2411	97
961	2413	95
962	2416	92
963	2417	90
964	2419	87
965	2420	85
966	2422	82
967	2424	80
968	2426	77
969	2428	75
970	2431	72
971	2432	70
972	2434	67
973	2436	65
974	2437	62
975	2439	59
976	2441	57
977	2442	54
978	2444	52
979	2447	49
980	2449	47
981	2451	44
982	2453	42
983	2455	39
984	2457	37
985	2459	34
986	2461	32
987	2463	29
988	2464	27
989	2466	24
990	2468	22
991	2469	19
992	2471	17
993	2472	14
994	2474	12
995	2475	9
996	2477	7
997	2479	4
998	2480	2
999	2482	0
