회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,폐지일자,부실기업여부
골프존뉴딘홀딩스,2013,10.9135485,38.82132053,13.23963305,299.039661,57.24418747,0,0
골프존뉴딘홀딩스,2014,-2.059629658,40.9576822,13.30212104,276.4497335,56.37383535,0,0
골프존뉴딘홀딩스,2015,-0.835783604,151.8046307,-1.798953618,355.3011165,21.44285804,0,0
골프존뉴딘홀딩스,2016,-5.561979315,28.6912773,-0.731241449,326.9532814,31.97740947,0,0
골프존뉴딘홀딩스,2009,57.12901109,105.6337227,52.95641528,702.9105779,135.223609,0,0
골프존뉴딘홀딩스,2018,-14.10903386,23.16717434,-1.420541416,268.2875765,28.7884761,0,0
골프존뉴딘홀딩스,2017,-0.446496069,25.33870199,-0.902087434,295.9841778,28.25599919,0,0
공구우먼,2018,26.53363161,88.57151625,23.61599326,900.3482333,153.5595408,0,0
공구우먼,2017,19.9817348,76.05412627,29.67011023,423.793438,162.7252719,0,0
광림,2010,18.46675382,11.41863021,2.351143794,202.2827918,82.82050335,0,0
광림,2011,29.82671104,25.64211425,3.750232288,290.9866931,123.325536,0,0
광림,2009,21.18433434,13.34731118,0.456351467,229.1132475,92.16589488,0,0
광림,2013,37.83139408,22.94412616,3.259013848,276.0983597,101.8205371,0,0
광림,2014,26.21171287,9.933295623,0.780219471,211.262688,94.51167496,0,0
광림,2015,2.212124874,23.39348999,0.906571878,223.6246816,162.1053083,0,0
광림,2012,36.45685522,24.58349438,1.47225107,341.786318,95.04990499,0,0
광림,2017,2.261145521,8.452277437,1.107457365,207.2962509,64.9777279,0,0
광림,2018,-7.455604064,-2.81603374,1.172936565,192.1604514,72.72956069,0,0
광림,2016,-7.701315895,14.09955709,0.074815523,197.7734621,38.02448072,0,0
광무,2010,11.06790337,-15.38052555,4.965206398,180.7909104,79.14377513,0,0
광무,2011,5.072557808,-82.34191716,-9.659060161,199.2568621,68.14674408,0,0
광무,2012,6.202112754,-131.0934732,-10.0639446,212.2742085,73.81200016,0,0
광무,2013,-20.62446631,-100.8029902,-19.49803891,133.0352912,58.0316502,0,0
광무,2014,-18.89793704,-12.32026039,5.104892133,143.9397413,137.8542069,0,0
광무,2015,-5.66439107,-22.84076877,-2.935487907,157.8429314,83.5106829,0,0
광무,2016,-4.803242157,-15.24223225,4.448337299,138.2821071,90.85654104,0,0
광무,2017,4.815453466,-26.54076511,0.689193552,188.0106796,74.40614417,0,0
광무,2018,8.142925296,-44.28756895,-2.36343541,160.6083695,81.15906556,0,0
광무,2009,37.67017295,2.207900745,4.891499498,198.56054,80.91628768,0,0
구영테크,2009,-35.43802028,-5.334586696,4.094019559,121.6733598,91.13547604,0,0
구영테크,2011,-30.39879956,12.47013591,2.957717042,132.465342,98.90345861,0,0
구영테크,2010,-32.08563492,-3.650996226,4.808947103,121.8581397,118.0022608,0,0
구영테크,2013,-23.73189682,15.18271769,2.990705895,135.4097899,115.7589624,0,0
구영테크,2014,-14.26441833,15.88154049,1.785125262,150.3770178,109.4133913,0,0
구영테크,2015,-6.19667274,17.83945548,2.187838725,153.751426,106.6646226,0,0
구영테크,2016,-7.809168767,17.92291492,2.467362673,153.0249114,88.93729532,0,0
구영테크,2017,-9.469321436,16.7268574,1.61775206,142.5393446,80.12064113,0,0
구영테크,2018,-7.044355424,18.37318325,0.808886299,151.4620045,96.37926472,0,0
구영테크,2012,-30.55228847,12.61313823,3.002758871,129.4730334,96.66546589,0,0
국보디자인,2010,30.84601432,48.05926457,5.719063352,275.447431,173.368467,0,0
국보디자인,2011,35.39337963,46.20098278,10.50742822,250.1795377,162.952892,0,0
국보디자인,2012,43.1047889,47.27203931,11.60183945,263.0121847,128.5595879,0,0
국보디자인,2013,33.86772947,41.15699822,8.162613485,205.2868716,127.846554,0,0
국보디자인,2014,40.03390543,46.64106549,7.461948291,228.9448712,133.6045748,0,0
국보디자인,2009,30.04322698,44.95193963,13.84731015,264.7479,179.1221814,0,0
국보디자인,2016,39.13656324,49.04244386,8.42545322,221.53862,127.1106799,0,0
국보디자인,2017,45.03038005,54.38602341,14.59444258,252.5146591,164.6523794,0,0
국보디자인,2018,45.88651892,57.72536246,9.567919735,263.4653989,145.2608013,0,0
국보디자인,2015,37.18976739,49.73831145,4.847938822,244.1741468,136.5147713,0,0
국순당,2010,40.34125171,78.11239112,8.082867887,928.8569427,59.22096057,0,0
국순당,2011,33.10988442,77.37152265,2.846715366,947.3258183,64.12039516,0,0
국순당,2012,35.07858077,75.73021874,3.239608281,1158.488208,56.59566033,0,0
국순당,2013,39.81394173,74.13389229,0.544578684,926.2797769,45.46841094,0,0
국순당,2014,39.11737768,75.23908412,0.405443099,1052.195419,42.24005518,0,0
국순당,2009,46.15996178,79.32067487,2.771065035,1225.555744,47.68409171,0,0
국순당,2016,34.96396849,73.19510983,-2.561850346,1121.893497,32.72285688,0,0
국순당,2017,30.7289642,68.02929466,-1.480130316,1172.283923,25.91300557,0,0
국순당,2018,25.61546051,74.74940616,-1.153275018,1040.208866,25.7716045,0,0
국순당,2015,39.92857949,73.56343009,-3.834817146,1175.788737,35.75597436,0,0
국영지앤엠,2009,28.8687592,14.60013168,-0.881678316,350.9248044,122.3027333,0,0
국영지앤엠,2011,13.75542062,23.3427951,-4.313350927,215.7061955,69.76060164,0,0
국영지앤엠,2012,24.78429315,31.69036111,-2.476182218,422.8135567,72.72971363,0,0
국영지앤엠,2013,20.27748946,30.83907642,2.111565665,376.4789394,88.40357841,0,0
국영지앤엠,2014,25.72587425,33.65915338,2.690534214,501.8832695,87.28059523,0,0
국영지앤엠,2015,24.08842085,29.64703245,-1.631179831,432.2232077,62.95010474,0,0
국영지앤엠,2016,27.23071089,29.35033569,0.378912034,434.5362437,78.35516834,0,0
국영지앤엠,2017,28.37466367,31.3251787,2.13364693,490.0197028,95.09940712,0,0
국영지앤엠,2018,27.43310871,32.9242638,-1.524846102,702.6473212,93.31457898,0,0
국영지앤엠,2010,26.02432232,28.7734223,4.697958977,393.7646893,90.54453469,0,0
그래디언트,2011,-8.04530379,36.63387585,-1.073163913,173.2810941,55.11090402,0,0
그래디언트,2012,-3.906222587,40.11795658,-0.095627011,215.5336768,61.38296124,0,0
그래디언트,2013,16.15278709,18.93503153,0.019337894,188.8224831,183.3290399,0,0
그래디언트,2014,13.75666057,16.17583629,0.008385811,188.2682992,163.2528338,0,0
그래디언트,2015,12.80171001,15.14983389,0.277305232,175.1362429,167.8855707,0,0
그래디언트,2016,12.96736787,12.15136802,0.517659242,168.1419527,185.4686632,0,0
그래디언트,2017,14.04822861,9.704161994,0.334343446,169.8837825,196.254983,0,0
그래디언트,2018,13.59131622,9.176183492,0.329518651,165.2384892,190.140566,0,0
그래디언트,2009,54.23235008,57.81731335,-3.810018665,388.2335951,62.62412973,0,0
그래디언트,2010,47.72539839,56.01040031,-2.877316326,323.516818,71.38628049,0,0
그리티,2011,52.22159509,48.4177739,45.85121767,240.7064143,249.6748194,0,0
그리티,2012,56.41788914,67.26147953,29.43898389,438.4900882,253.5652382,0,0
그리티,2013,68.26800721,72.31474645,37.68634446,493.1799518,263.2704439,0,0
그리티,2010,42.7713432,29.95536411,24.84248692,180.243772,267.4595915,0,0
그리티,2015,71.32369289,62.77509426,11.47030148,544.9489414,183.8456053,0,0
그리티,2016,64.17650892,57.880206,8.968426982,421.8378651,163.1266897,0,0
그리티,2017,64.9572837,60.64192401,13.12596273,426.1129272,171.7101115,0,0
그리티,2018,74.47221519,41.5786001,9.701483045,449.6714683,124.5466708,0,0
그리티,2014,74.07178135,64.29509456,21.33290247,805.0487447,217.4014816,0,0
그리티,2009,3.548251233,21.70731724,20.08233711,152.9314746,264.9040502,0,0
그린플러스,2011,-0.218513275,14.72452509,4.061101034,171.4351885,126.3430338,0,0
그린플러스,2012,-10.91669336,17.09378613,7.276797127,177.0424032,130.9501973,0,0
그린플러스,2013,-5.895383918,16.93803058,5.720681806,156.0749556,95.25542795,0,0
그린플러스,2014,-4.478304994,10.85294086,5.255274459,156.6739278,122.9623724,0,0
그린플러스,2015,-2.634537897,18.91691823,13.11720609,200.3841367,167.9583394,0,0
그린플러스,2016,17.22137574,18.1387903,5.938534725,236.8888418,99.67516008,0,0
그린플러스,2010,-7.013733277,17.83734589,8.157593729,148.9313107,148.5555312,0,0
그린플러스,2018,15.87127248,15.64155291,6.46996024,160.4091698,72.75494798,0,0
그린플러스,2017,11.31079928,20.78257607,7.062477902,236.4003676,110.2288256,0,0
그린플러스,2009,-3.000933179,16.36963643,7.208147336,140.8019048,120.7464054,0,0
극동자동화,2015,8.598122279,19.14434849,4.252580945,141.2154488,145.7132266,0,0
극동자동화,2014,6.079869888,14.80957079,-1.067359815,134.0675179,113.5305815,0,0
극동자동화,2016,-3.353156886,12.52776117,0.237848534,122.7383858,81.19839612,0,0
극동자동화,2017,5.418654007,15.59449488,4.393065451,130.8065862,179.0581288,0,0
글로벌스탠다드테크놀로지,2011,22.31451849,38.77854706,5.207898659,210.464492,78.94235416,0,0
글로벌스탠다드테크놀로지,2012,29.02013907,48.83911299,11.45334092,302.1086237,120.4134937,0,0
글로벌스탠다드테크놀로지,2010,32.3106899,50.18933467,17.48228858,299.1182226,130.4578954,0,0
글로벌스탠다드테크놀로지,2014,38.50883315,53.87995956,9.105562825,365.845257,127.3690793,0,0
글로벌스탠다드테크놀로지,2015,35.78410499,60.68889746,5.287417052,535.4206441,121.1367413,0,0
글로벌스탠다드테크놀로지,2016,31.68381918,51.09651281,2.67129415,312.3236648,101.5810723,0,0
글로벌스탠다드테크놀로지,2017,35.35821919,59.81208287,18.67830375,424.4567963,159.0179884,0,0
글로벌스탠다드테크놀로지,2018,35.78175327,66.21049146,7.535341632,546.4604173,123.6345821,0,0
글로벌스탠다드테크놀로지,2009,26.45121541,45.65764747,2.373276059,308.4971609,85.01592573,0,0
글로벌스탠다드테크놀로지,2013,32.91215194,49.8764067,9.818156537,313.1843077,129.3104657,0,0
금오하이텍,2012,-2.286903382,15.34945874,5.091893732,175.3897775,91.82636151,0,0
금오하이텍,2013,3.864062584,16.34380181,5.081223696,163.7897696,86.19997848,0,0
금오하이텍,2014,-11.72809542,11.31654115,3.100846564,141.7192928,70.68429352,0,0
