회사명,거래소코드,회계년도,종가(원),보통주(천원),시총,상장협 산업분류(대분류),상장협 산업분류(중분류),상장협 산업분류(소분류)
(주)골드퍼시픽,38530,12-14,1200,35107470,42128964000,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)골드퍼시픽,38530,12-15,1620,53032282,85912296840,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)골드퍼시픽,38530,12-16,732,58513516,42831893712,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)골드퍼시픽,38530,12-17,3780,6655713,25158595140,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)골드퍼시픽,38530,12-18,1415,17136344,24247926760,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)골드퍼시픽,38530,12-19,1620,33858959,54851513580,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)골드퍼시픽,38530,12-20,1435,66197245,94993046575,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)골프존,215000,12-15,87900,6275415,5.51609E+11,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)골프존,215000,12-16,65300,6275415,4.09785E+11,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)골프존,215000,12-17,44850,6275415,2.81452E+11,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)골프존,215000,12-18,33450,6275415,2.09913E+11,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)골프존,215000,12-19,68900,6275415,4.32376E+11,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)골프존,215000,12-20,69300,6275415,4.34886E+11,정보통신업,  출판업,    소프트웨어 개발 및 공급업
(주)골프존뉴딘홀딩스,121440,12-10,,10283023,0,도매 및 소매업,  도매 및 상품 중개업,    상품 중개업
(주)골프존뉴딘홀딩스,121440,12-11,47800,12283023,5.87128E+11,도매 및 소매업,  도매 및 상품 중개업,    상품 중개업
(주)골프존뉴딘홀딩스,121440,12-12,62900,12283023,7.72602E+11,도매 및 소매업,  도매 및 상품 중개업,    상품 중개업
(주)골프존뉴딘홀딩스,121440,12-13,20150,36849069,7.42509E+11,도매 및 소매업,  도매 및 상품 중개업,    상품 중개업
(주)골프존뉴딘홀딩스,121440,12-14,25250,36849069,9.30439E+11,도매 및 소매업,  도매 및 상품 중개업,    상품 중개업
(주)골프존뉴딘홀딩스,121440,12-15,7150,42836818,3.06283E+11,도매 및 소매업,  도매 및 상품 중개업,    상품 중개업
(주)골프존뉴딘홀딩스,121440,12-16,7760,42836818,3.32414E+11,도매 및 소매업,  도매 및 상품 중개업,    상품 중개업
(주)골프존뉴딘홀딩스,121440,12-17,5320,42836818,2.27892E+11,도매 및 소매업,  도매 및 상품 중개업,    상품 중개업
(주)골프존뉴딘홀딩스,121440,12-18,3685,42836818,1.57854E+11,도매 및 소매업,  도매 및 상품 중개업,    상품 중개업
(주)골프존뉴딘홀딩스,121440,12-19,3545,42836818,1.51857E+11,도매 및 소매업,  도매 및 상품 중개업,    상품 중개업
(주)골프존뉴딘홀딩스,121440,12-20,5540,42836818,2.37316E+11,도매 및 소매업,  도매 및 상품 중개업,    상품 중개업
(주)공구우먼,366030,12-17,,10000,0,도매 및 소매업,  소매업; 자동차 제외,"    섬유, 의복, 신발 및 가죽제품 소매업"
(주)공구우먼,366030,12-18,,10000,0,도매 및 소매업,  소매업; 자동차 제외,"    섬유, 의복, 신발 및 가죽제품 소매업"
(주)공구우먼,366030,12-19,,10000,0,도매 및 소매업,  소매업; 자동차 제외,"    섬유, 의복, 신발 및 가죽제품 소매업"
(주)공구우먼,366030,12-20,,10074,0,도매 및 소매업,  소매업; 자동차 제외,"    섬유, 의복, 신발 및 가죽제품 소매업"
(주)광림,14200,12-10,2000,15208965,30417930000,제조업,  자동차 및 트레일러 제조업,    자동차용 엔진 및 자동차 제조업
(주)광림,14200,12-11,2080,15208965,31634647200,제조업,  자동차 및 트레일러 제조업,    자동차용 엔진 및 자동차 제조업
(주)광림,14200,12-12,1985,19119243,37951697355,제조업,  자동차 및 트레일러 제조업,    자동차용 엔진 및 자동차 제조업
(주)광림,14200,12-13,1770,19119243,33841060110,제조업,  자동차 및 트레일러 제조업,    자동차용 엔진 및 자동차 제조업
(주)광림,14200,12-14,1510,19119243,28870056930,제조업,  자동차 및 트레일러 제조업,    자동차용 엔진 및 자동차 제조업
(주)광림,14200,12-15,3100,19119243,59269653300,제조업,  자동차 및 트레일러 제조업,    자동차용 엔진 및 자동차 제조업
(주)광림,14200,12-16,7860,48498486,3.81198E+11,제조업,  자동차 및 트레일러 제조업,    자동차용 엔진 및 자동차 제조업
(주)광림,14200,12-17,3835,48498486,1.85992E+11,제조업,  자동차 및 트레일러 제조업,    자동차용 엔진 및 자동차 제조업
(주)광림,14200,12-18,2495,49624189,1.23812E+11,제조업,  자동차 및 트레일러 제조업,    자동차용 엔진 및 자동차 제조업
(주)광림,14200,12-19,2225,52922234,1.17752E+11,제조업,  자동차 및 트레일러 제조업,    자동차용 엔진 및 자동차 제조업
(주)광림,14200,12-20,1680,52922234,88909353120,제조업,  자동차 및 트레일러 제조업,    자동차용 엔진 및 자동차 제조업
(주)광무,29480,12-10,2360,82586538,1.94904E+11,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    통신 및 방송 장비 제조업
(주)광무,29480,12-11,916,125422055,1.14887E+11,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    통신 및 방송 장비 제조업
(주)광무,29480,12-12,178,12935700,2302554600,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    통신 및 방송 장비 제조업
(주)광무,29480,12-13,1565,18853386,29505549090,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    통신 및 방송 장비 제조업
