회사명,거래소코드,회계년도,종가(원),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),시총
(주)양지사,30960,6-21,13350,15980000,2.13333E+11
(주)어스앤에어로스페이스,263540,12-21,40300,0,0
(주)어스앤에어로스페이스,263540,12-21,40300,1495747,60278604100
(주)어스앤에어로스페이스,263540,12-21,40300,1495747,60278604100
(주)얼라인드제네틱스,238120,12-21,8570,7189448,61613569360
(주)얼라인드제네틱스,238120,12-21,8570,7189448,61613569360
(주)얼라인드제네틱스,238120,12-21,8570,0,0
(주)에너토크,19990,12-21,10850,9756088,1.05854E+11
(주)에너토크,19990,12-21,10850,9756088,1.05854E+11
(주)에디슨이브이,136510,12-21,25300,28903180,7.3125E+11
(주)에디슨이브이,136510,12-21,25300,0,0
(주)에디슨이브이,136510,12-21,25300,28903180,7.3125E+11
(주)에스디생명공학,217480,12-21,3195,22415066,71616135870
(주)에스디생명공학,217480,12-21,3195,22415066,71616135870
(주)에스디시스템,121890,12-21,739,9609200,7101198800
(주)에스디시스템,121890,12-21,739,9609200,7101198800
(주)에스비에스콘텐츠허브,46140,12-21,8350,21463555,1.79221E+11
(주)에스비에스콘텐츠허브,46140,12-21,8350,21463555,1.79221E+11
(주)에스씨디,42110,12-21,1810,48329564,87476510840
(주)에스씨디,42110,12-21,1810,48329564,87476510840
(주)에스아이리소스,65420,12-21,639,68076186,43500682854
(주)에스아이리소스,65420,12-21,639,68076186,43500682854
(주)에스앤더블류,103230,12-21,2505,7200000,18036000000
(주)에스앤더블류,103230,12-21,2505,7200000,18036000000
(주)에스앤디,260970,12-21,19150,4059420,77737893000
(주)에스앤디,260970,12-21,19150,4059420,77737893000
(주)에스앤에스텍,101490,12-21,36800,21451447,7.89413E+11
(주)에스앤에스텍,101490,12-21,36800,0,0
(주)에스앤에스텍,101490,12-21,36800,21451447,7.89413E+11
(주)에스에너지,95910,12-21,4480,19396669,86897077120
(주)에스에너지,95910,12-21,4480,19396669,86897077120
(주)에스에스알,275630,12-21,6550,6017989,39417827950
(주)에스에스알,275630,12-21,6550,6017989,39417827950
(주)에스에이엠티,31330,12-21,4445,99995067,4.44478E+11
(주)에스에이엠티,31330,12-21,4445,99995067,4.44478E+11
(주)에스에이티,60540,12-21,3155,26133306,82450580430
(주)에스에이티,60540,12-21,3155,26133306,82450580430
(주)에스에이티이엔지,351320,12-21,5430,20345886,1.10478E+11
(주)에스에이티이엔지,351320,12-21,5430,20345886,1.10478E+11
